(y, x, P(y))
186.0, 1100.39981956304, -3.276998521922972 E8
187.0, 1106.322172418617, -3.526008347559323 E8
188.0, 1112.2442232713854, -3.792948028320349 E8
189.0, 1118.1659869791931, -4.0790384647996014 E8
190.0, 1124.087477733245, -4.385578981968561 E8
191.0, 1130.008709084648, -4.7139520672748375 E8
192.0, 1135.929693970077, -5.0656283770560867 E8
193.0, 1141.8504447365692, -5.442172025455418 E8
194.0, 1147.770973165478, -5.845246170722575 E8
195.0, 1153.6912904956027, -6.276618914513129 E8
196.0, 1159.611407445515, -6.738169530560274 E8
197.0, 1165.5313342351026, -7.231895039890213 E8
198.0, 1171.4510806063518, -7.759917150584157 E8
199.0, 1177.3706558433876, -8.324489580958936 E8
200.0, 1183.2900687917925, -8.928005785947597 E8
201.0, 1189.209327877225, -9.5730071074089 E8
202.0, 1195.1284411233523, -1.0262191370086052 E9
203.0, 1201.0474161691252, -1.0998421945969675 E9
204.0, 1206.9662602854055, -1.1784737310899773 E9
205.0, 1212.8849803909727, -1.2624361118369637 E9
206.0, 1218.8035830679219, -1.35207128166707 E9
207.0, 1224.722074576474, -1.447741883674697 E9
208.0, 1230.6404608692208, -1.5498324379408534 E9
209.0, 1236.558747604812, -1.658750583188998 E9
210.0, 1242.4769401611134, -1.7749283845137126 E9
211.0, 1248.3950436478433, -1.898823710465771 E9
212.0, 1254.3130629187121, -2.0309216829290662 E9
213.0, 1260.2310025830734, -2.171736203382992 E9
214.0, 1266.1488670171111, -2.3218115593090754 E9
215.0, 1272.0666603745703, -2.481724114672172 E9
216.0, 1277.9843865970524, -2.652084088586318 E9
217.0, 1283.9020494238866, -2.8335374264618483 E9
218.0, 1289.819652401596, -3.026767768125049 E9
219.0, 1295.7371988929654, -3.2324985176046576 E9
220.0, 1301.6546920857338, -3.451495019490604 E9
221.0, 1307.5721350009178, -3.6845668469907165 E9
222.0, 1313.4895305007828, -3.9325702070402565 E9
223.0, 1319.4068812964722, -4.1964104680576286 E9
224.0, 1325.32418995531, -4.477044816189073 E9
225.0, 1331.241458907788, -4.775485046142634 E9
226.0, 1337.1586904542457, -5.0928004929823885 E9
227.0, 1343.0758867712618, -5.43012111153365 E9
228.0, 1348.9930499177597, -5.788640710341673 E9
229.0, 1354.910181840844, -6.169620347430586 E9
230.0, 1360.827284381377, -6.574391895424753 E9
231.0, 1366.7443592793038, -7.004361783923979 E9
232.0, 1372.6614081787366, -7.461014927365432 E9
233.0, 1378.5784326328076, -7.945918846961282 E9
234.0, 1384.4954341083012, -8.460727995670709 E9
235.0, 1390.4124139900723, -9.007188295550013 E9
236.0, 1396.3293735852587, -9.58714189722344 E9
237.0, 1402.2463141273006, -1.020253217163478 E10
238.0, 1408.1632367797674, -1.0855408944669958 E10
239.0, 1414.0801426400094, -1.1547933985692318 E10
240.0, 1419.997032742631, -1.2282386761496807 E10
241.0, 1425.913908062803, -1.3061170467676304 E10
242.0, 1431.8307695194133, -1.3886818349896479 E10
243.0, 1437.7476179780663, -1.4762000328098763 E10
244.0, 1443.6644542539375, -1.568952993719644 E10
245.0, 1449.5812791144886, -1.6672371598392248 E10
246.0, 1455.4980932820483, -1.7713648235833546 E10
247.0, 1461.414897436268, -1.881664925393013 E10
248.0, 1467.331692216454, -1.9984838891293118 E10
249.0, 1473.2484782237825, -2.122186496790822 E10
250.0, 1479.165256023407, -2.2531568042841507 E10
251.0, 1485.0820261464562, -2.39179910004815 E10
252.0, 1490.9987890919308, -2.5385389084054874 E10
253.0, 1496.9155453285052, -2.6938240395920067 E10
254.0, 1502.832295296236, -2.8581256884927742 E10
255.0, 1508.749039408181, -3.0319395841963238 E10
256.0, 1514.6657780519367, -3.2157871925634808 E10
257.0, 1520.582511591094, -3.4102169740954266 E10
258.0, 1526.499240366618, -3.615805699477518 E10
259.0, 1532.4159646981548, -3.833159825270132 E10
260.0, 1538.3326848852691, -4.062916932316435 E10
261.0, 1544.2494012086165, -4.305747229539251 E10
262.0, 1550.1661139310522, -4.562355125904903 E10
263.0, 1556.0828232986796, -4.8334808734417336 E10
264.0, 1561.999529541844, -5.119902284315286 E10
265.0, 1567.9162328760683, -5.422436525079248 E10
266.0, 1573.8329335029432, -5.741941991344369 E10
267.0, 1579.7496316109625, -6.079320266233801 E10
